horizon,size,loss,cross_cost,enumerated_worst_loss,compiled_bound,action,tie
0,1,linear,1/4,1,1,cross,False
0,1,linear,1/2,1,1,cross,False
0,1,linear,3/4,1,1,cross,False
0,1,square,1/4,1,1,cross,False
0,1,square,1/2,1,1,cross,False
0,1,square,3/4,1,1,cross,False
0,1,miss,1/4,1,1,cross,False
0,1,miss,1/2,1,1,cross,False
0,1,miss,3/4,1,1,cross,False
0,2,linear,1/4,1,1,cross,False
0,2,linear,1/2,1,1,cross,False
0,2,linear,3/4,1,1,cross,False
0,2,square,1/4,1,1,cross,False
0,2,square,1/2,1,1,cross,False
0,2,square,3/4,1,1,cross,False
0,2,miss,1/4,1,1,cross,False
0,2,miss,1/2,1,1,cross,False
0,2,miss,3/4,1,1,cross,False
0,3,linear,1/4,1,1,cross,False
0,3,linear,1/2,1,1,cross,False
0,3,linear,3/4,1,1,cross,False
0,3,square,1/4,1,1,cross,False
0,3,square,1/2,1,1,cross,False
0,3,square,3/4,1,1,cross,False
0,3,miss,1/4,1,1,cross,False
0,3,miss,1/2,1,1,cross,False
0,3,miss,3/4,1,1,cross,False
1,1,linear,1/4,1,1,cross,False
1,1,linear,1/2,1,1,cross,False
1,1,linear,3/4,1,1,cross,False
1,1,square,1/4,1,1,cross,False
1,1,square,1/2,1,1,cross,False
1,1,square,3/4,1,1,cross,False
1,1,miss,1/4,1,1,cross,False
1,1,miss,1/2,1,1,cross,False
1,1,miss,3/4,1,1,cross,False
1,2,linear,1/4,1,1,cross,False
1,2,linear,1/2,1,1,cross,False
1,2,linear,3/4,1,1,cross,False
1,2,square,1/4,1,1,cross,False
1,2,square,1/2,1,1,cross,False
1,2,square,3/4,1,1,cross,False
1,2,miss,1/4,1,1,cross,False
1,2,miss,1/2,1,1,cross,False
1,2,miss,3/4,1,1,cross,False
1,3,linear,1/4,1,1,cross,False
1,3,linear,1/2,1,1,cross,False
1,3,linear,3/4,1,1,cross,False
1,3,square,1/4,1,1,cross,False
1,3,square,1/2,1,1,cross,False
1,3,square,3/4,1,1,cross,False
1,3,miss,1/4,1,1,cross,False
1,3,miss,1/2,1,1,cross,False
1,3,miss,3/4,1,1,cross,False
2,1,linear,1/4,1,1,cross,False
2,1,linear,1/2,1,1,cross,False
2,1,linear,3/4,1,1,cross,False
2,1,square,1/4,1,1,cross,False
2,1,square,1/2,1,1,cross,False
2,1,square,3/4,1,1,cross,False
2,1,miss,1/4,1,1,cross,False
2,1,miss,1/2,1,1,cross,False
2,1,miss,3/4,1,1,cross,False
2,2,linear,1/4,1,1,cross,False
2,2,linear,1/2,1,1,cross,False
2,2,linear,3/4,1,1,cross,False
2,2,square,1/4,1,1,cross,False
2,2,square,1/2,1,1,cross,False
2,2,square,3/4,1,1,cross,False
2,2,miss,1/4,1,1,cross,False
2,2,miss,1/2,1,1,cross,False
2,2,miss,3/4,1,1,cross,False
2,3,linear,1/4,1,1,cross,False
2,3,linear,1/2,1,1,cross,False
2,3,linear,3/4,1,1,cross,False
2,3,square,1/4,1,1,cross,False
2,3,square,1/2,1,1,cross,False
2,3,square,3/4,1,1,cross,False
2,3,miss,1/4,1,1,cross,False
2,3,miss,1/2,1,1,cross,False
2,3,miss,3/4,1,1,cross,False
3,1,linear,1/4,1,1,cross,False
3,1,linear,1/2,1,1,cross,False
3,1,linear,3/4,1,1,cross,False
3,1,square,1/4,1,1,cross,False
3,1,square,1/2,1,1,cross,False
3,1,square,3/4,1,1,cross,False
3,1,miss,1/4,1,1,cross,False
3,1,miss,1/2,1,1,cross,False
3,1,miss,3/4,1,1,cross,False
3,2,linear,1/4,1,1,cross,False
3,2,linear,1/2,1,1,cross,False
3,2,linear,3/4,1,1,cross,False
3,2,square,1/4,1,1,cross,False
3,2,square,1/2,1,1,cross,False
3,2,square,3/4,1,1,cross,False
3,2,miss,1/4,1,1,cross,False
3,2,miss,1/2,1,1,cross,False
3,2,miss,3/4,1,1,cross,False
3,3,linear,1/4,1,1,cross,False
3,3,linear,1/2,1,1,cross,False
3,3,linear,3/4,1,1,cross,False
3,3,square,1/4,1,1,cross,False
3,3,square,1/2,1,1,cross,False
3,3,square,3/4,1,1,cross,False
3,3,miss,1/4,1,1,cross,False
3,3,miss,1/2,1,1,cross,False
3,3,miss,3/4,1,1,cross,False
4,1,linear,1/4,0,0,post,False
4,1,linear,1/2,0,0,post,False
4,1,linear,3/4,0,0,post,False
4,1,square,1/4,0,0,post,False
4,1,square,1/2,0,0,post,False
4,1,square,3/4,0,0,post,False
4,1,miss,1/4,0,0,post,False
4,1,miss,1/2,0,0,post,False
4,1,miss,3/4,0,0,post,False
4,2,linear,1/4,1/2,1/2,cross,False
4,2,linear,1/2,1/2,1/2,cross,True
4,2,linear,3/4,1/2,1/2,post,False
4,2,square,1/4,1/4,1/4,cross,True
4,2,square,1/2,1/4,1/4,post,False
4,2,square,3/4,1/4,1/4,post,False
4,2,miss,1/4,1,1,cross,False
4,2,miss,1/2,1,1,cross,False
4,2,miss,3/4,1,1,cross,False
4,3,linear,1/4,2/3,2/3,cross,False
4,3,linear,1/2,2/3,2/3,cross,False
4,3,linear,3/4,2/3,2/3,post,False
4,3,square,1/4,4/9,4/9,cross,False
4,3,square,1/2,4/9,4/9,post,False
4,3,square,3/4,4/9,4/9,post,False
4,3,miss,1/4,1,1,cross,False
4,3,miss,1/2,1,1,cross,False
4,3,miss,3/4,1,1,cross,False
