family,endpoint,metric,status,delta,mix,within,mix_F,mix_A,mix_N,within_F,within_A,within_N
breakout,equal_day,C,evaluable,0.006681839008225665,0.020763053751282814,-0.014081214743057242,0.010514733863369024,0.015528663949671912,-0.005280344061758122,-0.010675579453471421,0.004181291812933559,-0.007586927102519381
breakout,equal_day,P,evaluable,0.0139198310570674,0.021523136015387623,-0.0076033049583201975,0.010752280984686674,0.015468065873530208,-0.004697210842829257,-0.004927866172675248,0.005800471825980672,-0.008475910611625621
breakout,equal_day,R,evaluable,0.02449902546121646,0.0228053944522832,0.001693631008933231,0.010542579088658285,0.01620885641515168,-0.003946041051526766,0.006257061313955272,0.00466092914716318,-0.009224359452185221
breakout,equal_day,onehot-F,evaluable,-0.021896690336630886,-0.021896690336630924,5.774430583281605e-16,0.0,0.022744868950602858,-0.04464155928723378,0.0,1.2068758882907585e-16,4.567554694990846e-16
breakout,equal_day,onehot-A,evaluable,-0.02274486895060257,-0.02274486895060252,5.708772174473413e-16,0.02189669033663126,0.0,-0.04464155928723378,1.1412174794825668e-16,0.0,4.567554694990846e-16
breakout,equal_day,onehot-N,evaluable,0.04464155928723451,0.04464155928723412,2.348093367773325e-16,0.02189669033663126,0.022744868950602858,-0.0,1.1412174794825668e-16,1.2068758882907585e-16,0.0
breakout,equal_day,uniform,evaluable,-5.551115123125783e-17,1.1362438767648086e-16,-2.8729538628204343e-16,0.007298896778877096,0.007581622983534298,-0.01488051976241128,-5.706087397412834e-17,-3.448216823687881e-17,-1.9575234407103629e-16
breakout,equal_day,train-frequency,evaluable,0.013283904961040482,0.01328390496104031,3.1637281347359767e-16,0.008019967707405628,0.0131491675414312,-0.007885230287796518,1.1412174794825668e-16,1.2068758882907585e-16,8.156347669626513e-17
breakout,equal_day,P-C,evaluable,0.0072379920488418684,0.0007600822641048135,0.006477909784737057,0.00023754712131764647,-6.0598076141698535e-05,0.0005831332189288655,0.005747713280796226,0.0016191800130470637,-0.0008889835091062327
breakout,equal_day,R-C,evaluable,0.01781718645299085,0.0020423407010003937,0.015774845751990462,2.7845225289260173e-05,0.0006801924654797777,0.0013343030102313557,0.01693264076742673,0.000479637334229577,-0.001637432349665842
breakout,equal_day,R-P,evaluable,0.010579194404148978,0.00128225843689558,0.0092969359672534,-0.00020970189602838638,0.0007407905416214763,0.00075116979130249,0.011184927486630502,-0.001139542678817487,-0.0007484488405596162
breakout,equal_day,C-frequency,evaluable,-0.006602065952814792,0.007479148790242483,-0.01408121474305726,0.002494766155963395,0.0023794964082406926,0.0026048862260383957,-0.01067557945347144,0.0041812918129335505,-0.007586927102519369
breakout,equal_day,P-frequency,evaluable,0.0006359260960270784,0.008239231054347295,-0.007603304958320214,0.0027323132772810407,0.0023188983320989944,0.003188019444967261,-0.004927866172675209,0.0058004718259806074,-0.008475910611625613
breakout,equal_day,R-frequency,evaluable,0.011215120500176059,0.009521489491242876,0.0016936310089331842,0.0025226113812526537,0.0030596888737204706,0.003939189236269751,0.0062570613139553005,0.0046609291471631205,-0.009224359452185237
breakout,equal_day,frequency-uniform,evaluable,0.01328390496104026,0.013283904961040212,2.7460356116391067e-17,0.0007210709285285376,0.005567544557896927,0.006995289474614748,-1.7831523116915105e-18,1.2930813088829553e-17,1.6312695339253024e-17
