family,kind,metric,endpoint,value,status,n,n_F,n_A,n_N
breakout,method,C,raw,0.37790484565777066,evaluable,880,380,281,219
breakout,method,C,frozen_mixture,0.3033096272949539,evaluable,880,380,281,219
breakout,method,C,F,0.27748400899381986,evaluable,880,380,281,219
breakout,method,C,A,0.618631943965258,evaluable,880,380,281,219
breakout,method,C,N,0.24327289729200524,evaluable,880,380,281,219
breakout,method,P,raw,0.37667404440686764,evaluable,880,380,281,219
breakout,method,P,frozen_mixture,0.2958250470474509,evaluable,880,380,281,219
breakout,method,P,F,0.29316573503703103,evaluable,880,380,281,219
breakout,method,P,A,0.6109699533941713,evaluable,880,380,281,219
breakout,method,P,N,0.22094804958999809,evaluable,880,380,281,219
breakout,method,R,raw,0.37848687579664597,evaluable,880,380,281,219
breakout,method,R,frozen_mixture,0.2899428143518861,evaluable,880,380,281,219
breakout,method,R,F,0.29415772363810977,evaluable,880,380,281,219
breakout,method,R,A,0.6275947836817819,evaluable,880,380,281,219
breakout,method,R,N,0.20517982421911413,evaluable,880,380,281,219
breakout,method,onehot-F,raw,0.5681818181818182,evaluable,880,380,281,219
breakout,method,onehot-F,frozen_mixture,0.6592592592592589,evaluable,880,380,281,219
breakout,method,onehot-F,F,0.0,evaluable,880,380,281,219
breakout,method,onehot-F,A,1.0000000000000002,evaluable,880,380,281,219
breakout,method,onehot-F,N,0.9999999999999992,evaluable,880,380,281,219
breakout,method,onehot-A,raw,0.6806818181818182,evaluable,880,380,281,219
breakout,method,onehot-A,frozen_mixture,0.8711111111111107,evaluable,880,380,281,219
breakout,method,onehot-A,F,1.0000000000000002,evaluable,880,380,281,219
breakout,method,onehot-A,A,0.0,evaluable,880,380,281,219
breakout,method,onehot-A,N,0.9999999999999992,evaluable,880,380,281,219
breakout,method,onehot-N,raw,0.7511363636363636,evaluable,880,380,281,219
breakout,method,onehot-N,frozen_mixture,0.46962962962962973,evaluable,880,380,281,219
breakout,method,onehot-N,F,1.0000000000000002,evaluable,880,380,281,219
breakout,method,onehot-N,A,1.0000000000000002,evaluable,880,380,281,219
breakout,method,onehot-N,N,0.0,evaluable,880,380,281,219
breakout,method,uniform,raw,0.33333333333333337,evaluable,880,380,281,219
breakout,method,uniform,frozen_mixture,0.33333333333333326,evaluable,880,380,281,219
breakout,method,uniform,F,0.3333333333333332,evaluable,880,380,281,219
