timeline_hour_end,utc_end,source_hour_index,state,hourly_btc_events,hourly_new_events,hourly_legacy_update,hourly_legacy_remove,hourly_legacy_total,legacy_per_million_btc_events,cumulative_first_seen_new_oids,cumulative_legacy_oids,cumulative_all_first_seen_oids,reported_ever_seen_oids,observed_lifecycle_coverage_pct,legacy_cohort_discovery_saturation_pct
0,2025-12-01T00:00:00+00:00,,pre_replay_origin,,,,,,,0,0,0,,,0.0
1,2025-12-01T01:00:00+00:00,0,complete_observed_hour,5017557,2456862,3472,3998,7470,1488.7723248584919,2456862,7470,2464332,2464332,99.6968752586908,65.9427966101695
2,2025-12-01T02:00:00+00:00,1,complete_observed_hour,3925304,1942655,19,578,597,152.0901311083167,4399517,8067,4407584,4407584,99.81697456021259,71.21292372881356
3,2025-12-01T03:00:00+00:00,2,complete_observed_hour,3082417,1522431,234,530,764,247.85744433670072,5921948,8831,5930779,5930779,99.85109881855318,77.95727401129943
4,2025-12-01T04:00:00+00:00,3,complete_observed_hour,3027446,1497006,155,642,797,263.25820510093325,7418954,9628,7428582,7428582,99.87039249213376,84.99293785310735
5,2025-12-01T05:00:00+00:00,4,complete_observed_hour,3075503,1521818,275,259,534,173.63013464789336,8940772,10162,8950934,8950934,99.88646994827579,89.7069209039548
6,2025-12-01T06:00:00+00:00,5,complete_observed_hour,2605900,1290597,42,299,341,130.85690164626425,10231369,10503,10241872,10241872,99.89745038797595,92.71716101694915
7,2025-12-01T07:00:00+00:00,6,complete_observed_hour,2593502,1285314,0,341,341,131.4824511413525,11516683,10844,11527527,11527527,99.90592951983544,95.7274011299435
8,2025-12-01T08:00:00+00:00,7,complete_observed_hour,2575573,1278220,0,262,262,101.72493654810017,12794903,11106,12806009,12806009,99.91327508828083,98.04025423728814
9,2025-12-01T09:00:00+00:00,8,complete_observed_hour,2420117,1200983,0,36,36,14.875313879452936,13995886,11142,14007028,14007028,99.920454217697,98.35805084745763
10,2025-12-01T10:00:00+00:00,9,complete_observed_hour,2478414,1230795,0,38,38,15.332385953274958,15226681,11180,15237861,15237861,99.92663012216741,98.69350282485875
11,2025-12-01T11:00:00+00:00,10,complete_observed_hour,1832087,910101,0,148,148,80.78218992875338,16136782,11328,16148110,16148110,99.9298493755616,100.0
